PING 186.195.16.13 (186.195.16.13) 56(84) bytes of data.
64 bytes from 186.195.16.13: icmp_req=219 ttl=64 time=0.226 ms
64 bytes from 186.195.16.13: icmp_req=220 ttl=64 time=0.266 ms
64 bytes from 186.195.16.13: icmp_req=221 ttl=64 time=0.228 ms
64 bytes from 186.195.16.13: icmp_req=222 ttl=64 time=0.271 ms
64 bytes from 186.195.16.13: icmp_req=223 ttl=64 time=0.203 ms
64 bytes from 186.195.16.13: icmp_req=224 ttl=64 time=0.251 ms
64 bytes from 186.195.16.13: icmp_req=225 ttl=64 time=0.266 ms
64 bytes from 186.195.16.13: icmp_req=226 ttl=64 time=0.199 ms
64 bytes from 186.195.16.13: icmp_req=227 ttl=64 time=0.197 ms
64 bytes from 186.195.16.13: icmp_req=228 ttl=64 time=0.213 ms
64 bytes from 186.195.16.13: icmp_req=229 ttl=64 time=0.296 ms
64 bytes from 186.195.16.13: icmp_req=230 ttl=64 time=0.198 ms
64 bytes from 186.195.16.13: icmp_req=231 ttl=64 time=0.250 ms
64 bytes from 186.195.16.13: icmp_req=232 ttl=64 time=0.213 ms
64 bytes from 186.195.16.13: icmp_req=233 ttl=64 time=0.207 ms
64 bytes from 186.195.16.13: icmp_req=234 ttl=64 time=0.268 ms
64 bytes from 186.195.16.13: icmp_req=235 ttl=64 time=0.258 ms
64 bytes from 186.195.16.13: icmp_req=236 ttl=64 time=0.270 ms
64 bytes from 186.195.16.13: icmp_req=237 ttl=64 time=0.273 ms
64 bytes from 186.195.16.13: icmp_req=238 ttl=64 time=0.259 ms
64 bytes from 186.195.16.13: icmp_req=239 ttl=64 time=0.187 ms
64 bytes from 186.195.16.13: icmp_req=240 ttl=64 time=0.363 ms
64 bytes from 186.195.16.13: icmp_req=241 ttl=64 time=0.179 ms
64 bytes from 186.195.16.13: icmp_req=242 ttl=64 time=0.186 ms
64 bytes from 186.195.16.13: icmp_req=243 ttl=64 time=0.198 ms
64 bytes from 186.195.16.13: icmp_req=244 ttl=64 time=0.184 ms
64 bytes from 186.195.16.13: icmp_req=245 ttl=64 time=0.210 ms
64 bytes from 186.195.16.13: icmp_req=246 ttl=64 time=0.222 ms
64 bytes from 186.195.16.13: icmp_req=247 ttl=64 time=0.208 ms
64 bytes from 186.195.16.13: icmp_req=248 ttl=64 time=0.248 ms
64 bytes from 186.195.16.13: icmp_req=249 ttl=64 time=0.271 ms
64 bytes from 186.195.16.13: icmp_req=250 ttl=64 time=0.214 ms
64 bytes from 186.195.16.13: icmp_req=251 ttl=64 time=0.228 ms
64 bytes from 186.195.16.13: icmp_req=252 ttl=64 time=0.359 ms
64 bytes from 186.195.16.13: icmp_req=253 ttl=64 time=0.349 ms
64 bytes from 186.195.16.13: icmp_req=254 ttl=64 time=0.171 ms
64 bytes from 186.195.16.13: icmp_req=255 ttl=64 time=0.353 ms
64 bytes from 186.195.16.13: icmp_req=256 ttl=64 time=0.266 ms
64 bytes from 186.195.16.13: icmp_req=257 ttl=64 time=0.292 ms
64 bytes from 186.195.16.13: icmp_req=258 ttl=64 time=0.245 ms
64 bytes from 186.195.16.13: icmp_req=259 ttl=64 time=0.232 ms
64 bytes from 186.195.16.13: icmp_req=260 ttl=64 time=0.284 ms
64 bytes from 186.195.16.13: icmp_req=261 ttl=64 time=0.233 ms
64 bytes from 186.195.16.13: icmp_req=262 ttl=64 time=0.333 ms
64 bytes from 186.195.16.13: icmp_req=263 ttl=64 time=0.212 ms
64 bytes from 186.195.16.13: icmp_req=264 ttl=64 time=0.359 ms
64 bytes from 186.195.16.13: icmp_req=265 ttl=64 time=0.227 ms
64 bytes from 186.195.16.13: icmp_req=266 ttl=64 time=0.238 ms
64 bytes from 186.195.16.13: icmp_req=267 ttl=64 time=0.189 ms
64 bytes from 186.195.16.13: icmp_req=268 ttl=64 time=0.202 ms
64 bytes from 186.195.16.13: icmp_req=269 ttl=64 time=0.195 ms
64 bytes from 186.195.16.13: icmp_req=270 ttl=64 time=0.285 ms
64 bytes from 186.195.16.13: icmp_req=271 ttl=64 time=0.259 ms
64 bytes from 186.195.16.13: icmp_req=272 ttl=64 time=0.214 ms
64 bytes from 186.195.16.13: icmp_req=273 ttl=64 time=0.208 ms
64 bytes from 186.195.16.13: icmp_req=274 ttl=64 time=0.208 ms
64 bytes from 186.195.16.13: icmp_req=275 ttl=64 time=0.239 ms
64 bytes from 186.195.16.13: icmp_req=276 ttl=64 time=0.328 ms
64 bytes from 186.195.16.13: icmp_req=277 ttl=64 time=0.251 ms
64 bytes from 186.195.16.13: icmp_req=278 ttl=64 time=0.351 ms
64 bytes from 186.195.16.13: icmp_req=279 ttl=64 time=0.203 ms
64 bytes from 186.195.16.13: icmp_req=280 ttl=64 time=0.370 ms
64 bytes from 186.195.16.13: icmp_req=281 ttl=64 time=0.298 ms
64 bytes from 186.195.16.13: icmp_req=282 ttl=64 time=0.286 ms
64 bytes from 186.195.16.13: icmp_req=283 ttl=64 time=0.281 ms
64 bytes from 186.195.16.13: icmp_req=284 ttl=64 time=0.266 ms
64 bytes from 186.195.16.13: icmp_req=285 ttl=64 time=0.199 ms
64 bytes from 186.195.16.13: icmp_req=286 ttl=64 time=0.218 ms
64 bytes from 186.195.16.13: icmp_req=287 ttl=64 time=0.244 ms
64 bytes from 186.195.16.13: icmp_req=288 ttl=64 time=0.212 ms
64 bytes from 186.195.16.13: icmp_req=289 ttl=64 time=0.226 ms
64 bytes from 186.195.16.13: icmp_req=290 ttl=64 time=0.222 ms
64 bytes from 186.195.16.13: icmp_req=291 ttl=64 time=0.211 ms
64 bytes from 186.195.16.13: icmp_req=292 ttl=64 time=0.312 ms
64 bytes from 186.195.16.13: icmp_req=293 ttl=64 time=0.307 ms
64 bytes from 186.195.16.13: icmp_req=294 ttl=64 time=0.321 ms
64 bytes from 186.195.16.13: icmp_req=295 ttl=64 time=0.276 ms
64 bytes from 186.195.16.13: icmp_req=296 ttl=64 time=0.293 ms
64 bytes from 186.195.16.13: icmp_req=297 ttl=64 time=0.202 ms
64 bytes from 186.195.16.13: icmp_req=298 ttl=64 time=0.309 ms
64 bytes from 186.195.16.13: icmp_req=299 ttl=64 time=0.287 ms
64 bytes from 186.195.16.13: icmp_req=300 ttl=64 time=0.192 ms
64 bytes from 186.195.16.13: icmp_req=301 ttl=64 time=0.307 ms

--- 186.195.16.13 ping statistics ---
301 packets transmitted, 301 received, 0% packet loss, time 299997ms
rtt min/avg/max/mdev = 0.118/0.225/0.453/0.063 ms
